SYMBOL,ENTREZID,Control 1a C1A_NA,Control 1b C1B_NA,Control 2a C2A_NA,Control 2b C2B_NA,Control 3a C3a_NA,Control 3b C3b_NA,Control 4a C4a_NA,Tissue (HPA),Cell type (HPA),Level (HPA),Reliability (HPA)
RPL26L1,51121,53.9858,57.5494,79.0756,73.2077,65.241,86.4685,75.6632,NA,NA,NA,NA
RPL26P30,653147,9.00216,7.58526,11.4744,10.7155,10.7387,10.7825,12.754,NA,NA,NA,NA
RPL27,6155,1576.77,1599.85,1689.04,1662.08,1933.77,2027.73,2075.87,cerebral-cortex,glial-cells,High,Approved
RPL27A,6157,1572.37,1610.04,1672.11,1524.48,1729.73,1946.22,1836.29,cerebral-cortex,glial-cells,Medium,Supported
RPL27AP,128481,0.140765,0.595777,0.441759,0.452757,0.397731,0.211877,0.364379,NA,NA,NA,NA
RPL27AP5,100271300,1.0625,0.843181,0.277869,0.569583,0.375256,0.199905,0.3438,NA,NA,NA,NA
RPL28,6158,1364.01,1448.47,1249.37,933.552,1480.26,1751.65,1467.43,cerebral-cortex,glial-cells,Low,Approved
RPL29,6159,414.745,406.833,478.166,404.352,442.787,482.487,524.389,cerebral-cortex,glial-cells,High,Approved
RPL29P11,100131713,0.339537,0.479021,1.4207,0.606761,0.159878,0.170339,0.732446,NA,NA,NA,NA
RPL29P12,283412,0.371124,0.261291,0.517994,0.396892,0.524399,0,1.12141,NA,NA,NA,NA
RPL29P14,100270974,0.145233,0.460908,0.151902,0.155958,0.205408,0.218633,0.188145,NA,NA,NA,NA
RPL29P19,389655,3.43354,3.22938,4.78906,2.86326,4.31163,3.2539,9.71118,NA,NA,NA,NA
RPL29P24,100129591,0.392157,0.41495,0,0.140135,0,0,0.169175,NA,NA,NA,NA
RPL29P7,100270972,0.128659,0.136135,0,0.275888,0.181759,0,0.166526,NA,NA,NA,NA
RPL3,6122,881.228,889.471,982.143,927.508,836.678,916.605,812.302,NA,NA,NA,NA
RPL30,6156,1754.97,1883.88,1854.74,1923.33,1908.81,2124.31,2242.15,NA,NA,NA,NA
RPL30P14,100129867,0.445826,0.471732,0.699569,0.238951,0.944936,1.00676,0.865386,NA,NA,NA,NA
RPL30P4,100131230,3.95299,5.48979,2.5845,5.29648,5.93502,4.8355,3.51665,NA,NA,NA,NA
RPL31,6160,1240.04,1557.84,1394.89,1156.01,1468.25,1494.02,1396.64,NA,NA,NA,NA
RPL31P1,54027,0,0.203497,0.201187,0.206172,0,0.289517,0.248894,NA,NA,NA,NA
RPL31P11,641311,0,0,0.201187,0,0,0.289514,0.746674,NA,NA,NA,NA
RPL31P2,140753,49.35,52.4153,48.3003,61.1208,61.8029,67.2537,46.9322,NA,NA,NA,NA
RPL31P28,442217,0.655789,1.61911,2.51543,0.937308,2.16215,2.30363,2.54594,NA,NA,NA,NA
RPL31P49,100129882,5.10442,5.80123,6.13076,4.86405,3.47247,5.97639,5.38256,NA,NA,NA,NA
RPL31P61,100271487,1.50389,2.98366,0.786617,2.01526,0.531232,2.54686,1.21642,NA,NA,NA,NA
RPL31P63,100271392,0.378083,0.600092,0.593276,0.810614,0.267091,0.262228,1.22329,NA,NA,NA,NA
RPL31P7,654391,26.0244,22.4226,26.446,21.9206,21.7991,25.1842,24.2974,NA,NA,NA,NA
RPL32,6161,1208.09,1223.73,1312.96,1248.96,1285.43,1353.02,1388.13,cerebral-cortex,glial-cells,Low,Enhanced
RPL32P29,729215,14.4632,10.7041,15.0205,12.006,12.9069,10.266,19.3059,NA,NA,NA,NA
RPL32P3,132241,10.4289,13.7081,8.68464,6.55542,11.2033,9.81502,8.27646,NA,NA,NA,NA
RPL34,6164,684.648,657.172,689.279,747.918,791.139,806.062,614.677,NA,NA,NA,NA
RPL34P1,26514,0.428882,0.453803,0.224325,0.459747,0.909003,0.322827,0,NA,NA,NA,NA
RPL34P18,100271003,5.78991,9.30297,10.319,10.5742,11.211,13.2359,11.3776,NA,NA,NA,NA
RPL34P26,100130718,0.214441,0,0.224329,0.459747,0.606003,0.645653,0,NA,NA,NA,NA
RPL34P27,651249,11.9587,16.4029,12.0466,12.5818,16.8977,14.0026,10.89,NA,NA,NA,NA
RPL34P31,729536,18.5699,11.2572,17.4023,3.93997,20.4982,34.3606,34.5459,NA,NA,NA,NA
RPL34P33,730061,0,0.519118,0.256611,0.262941,0.346634,0,0.317423,NA,NA,NA,NA
RPL34P34,342994,12.4376,13.6141,10.5433,15.1717,17.2711,19.6924,20.2577,NA,NA,NA,NA
RPL34P6,100270998,0.227387,0.2406,0.237867,0.731232,1.28521,0,1.17699,NA,NA,NA,NA
RPL35,11224,882.089,904.008,1068.75,921.271,1062.42,1148.9,1267.49,cerebral-cortex,glial-cells,High,Approved
RPL35A,6165,718.611,741.301,742.539,681.122,892.085,932.131,1101.04,NA,NA,NA,NA
RPL35AP21,100271506,35.5769,32.9387,30.7555,24.8935,39.7995,44.6354,60.1028,NA,NA,NA,NA
RPL35AP32,100271632,0,0,0.278326,0.570197,0.375854,0,0,NA,NA,NA,NA
RPL35AP35,100271636,1.4017,1.73034,1.71069,1.25209,1.98065,1.40683,2.41844,NA,NA,NA,NA
RPL35P1,440737,0.194373,0.408244,0.604081,0.416966,0.274716,0.292705,1.24548,NA,NA,NA,NA
RPL35P2,646766,13.3856,16.5239,17.1849,10.8706,17.4803,16.1815,19.1596,NA,NA,NA,NA
RPL35P3,728010,0,0.204676,0,0.207366,0,0,0,NA,NA,NA,NA
RPL35P5,441246,0.643302,0.680676,0.448626,0.229854,0.605983,0.645632,0,NA,NA,NA,NA
RPL36,25873,991.814,977.586,966.137,831.487,1170.92,1343.24,1307.71,cerebral-cortex,glial-cells,High,Supported
RPL36AL,6166,158.519,156.097,159.759,155.344,196.091,194.738,156.328,NA,NA,NA,NA
RPL36AP15,100271325,0,0.473453,1.40205,0,1.2632,0,0,NA,NA,NA,NA
RPL36AP21,100271332,0.265971,0,0,0.570162,0.751706,0.400445,0.688299,NA,NA,NA,NA
RPL36AP26,729909,0.552643,0.584667,0.578125,0.296083,0,0.832235,0.357474,NA,NA,NA,NA
RPL36AP39,100271643,0.55285,0,0,0.59256,0,0.416194,0,NA,NA,NA,NA
RPL36AP40,554234,0,0.285754,0,0,0.38163,0.406596,0,NA,NA,NA,NA
RPL36AP43,100271646,0.906501,0,0.948285,0,0,0.455077,0.390957,NA,NA,NA,NA
RPL36AP45,441727,1.1057,1.16995,1.15666,0.88884,3.12508,2.49717,1.43068,NA,NA,NA,NA
RPL36P4,140750,0.0273705,0,0,0.205934,0.225353,0,0,NA,NA,NA,NA
RPL37,6167,1345.5,1412.21,1310.08,1183.3,1423.07,1493.7,1239.93,NA,NA,NA,NA
RPL37A,6168,2949.58,2900.35,3516.08,2857.17,3806.61,4316.88,3882.3,cerebral-cortex,glial-cells,Medium,Approved
RPL37AP1,140717,10.5384,11.9768,10.2076,7.1103,8.27555,15.2828,9.59338,NA,NA,NA,NA
RPL37P1,140696,0.371625,0.393219,0,0.398243,0.52527,0.559638,0.480758,NA,NA,NA,NA
RPL37P2,116730,205.471,197.16,203.609,185.364,185.784,205.553,174.252,NA,NA,NA,NA
RPL37P23,648217,290.021,284.673,269.758,237.554,304.676,322.063,252.624,NA,NA,NA,NA
RPL38,6169,1329.06,1353.57,1362.04,1092.12,1263.5,1497.94,1532.38,cerebral-cortex,glial-cells,Medium,Approved
RPL39,6170,89.5188,102.471,107.377,127.167,104.136,103.868,124.304,NA,NA,NA,NA
RPL39L,116832,20.9429,22.6603,10.6549,14.2165,10.6602,10.8693,6.34921,NA,NA,NA,NA
RPL39P,140719,0,0,2.62703,2.68327,0,0,19.4354,NA,NA,NA,NA
RPL39P3,285785,2.51158,2.65721,2.62703,8.04981,7.12049,7.58639,0,NA,NA,NA,NA
RPL39P34,100271523,3.87025,1.73482,0,9.32696,3.29499,0,0,NA,NA,NA,NA
RPL39P36,100271526,2.51128,5.31441,15.7623,2.68327,3.56025,0,9.71774,NA,NA,NA,NA
RPL39P38,100271529,5.3675,2.8397,0,0,3.80548,0,0,NA,NA,NA,NA
RPL39P5,553117,0,2.9705,5.87354,0.235167,3.99212,4.24181,8.48607,NA,NA,NA,NA
RPL39P6,100270891,0,6.07789,0,6.1365,4.07319,8.6794,0,NA,NA,NA,NA
RPL3P3,645798,0.0650574,0.103257,0.034028,0.244184,0.229719,0.24475,0.294778,NA,NA,NA,NA
RPL3P4,326307,168.405,182.429,198.983,192.958,169.373,194.525,179.361,NA,NA,NA,NA
RPL3P6,643220,0.0328206,0.208367,0.137334,0.0703929,0.185425,0.345725,0.169956,NA,NA,NA,NA
RPL3P7,642741,16.2804,17.7088,19.1427,19.4842,17.5679,18.0804,17.7885,NA,NA,NA,NA
RPL3P9,100128963,2.17897,2.1637,2.10407,2.69619,2.65148,2.52229,2.34348,NA,NA,NA,NA
RPL4,6124,1288.3,1317.65,1495.86,1468.27,1261.5,1263.41,1518.8,NA,NA,NA,NA
RPL41,6171,27.4326,29.7279,24.2731,20.6192,21.636,24.2836,22.9383,NA,NA,NA,NA
RPL4P1,650808,0.152826,0.0646824,0.127896,0.0327779,0.172681,0.09199,0.197847,NA,NA,NA,NA
RPL4P3,391135,1.09728,0.878628,1.08581,1.14492,0.670186,0.937173,0.844644,NA,NA,NA,NA
RPL4P4,647276,12.3711,14.1835,15.1353,16.1677,12.8793,14.3624,16.4484,NA,NA,NA,NA
RPL4P6,100271033,0.268627,0.221053,0.280981,0.160026,0.252922,0.134761,0.154546,NA,NA,NA,NA
RPL5,6125,503.514,524.424,578.371,588.155,529.462,556.132,486.075,NA,NA,NA,NA
RPL5P1,647436,1.85274,2.86527,3.13084,2.54717,2.61692,2.85964,1.16848,NA,NA,NA,NA
RPL5P11,402193,0.285449,0.201357,0.199071,0.204068,0.201593,0.143189,0.123176,NA,NA,NA,NA
RPL5P12,100270833,0.354549,0.267965,0.370891,0.162943,0.357706,0.152444,0.32784,NA,NA,NA,NA
RPL5P14,100270835,0.145888,0.10291,0.305224,0.260738,0.206061,0.146362,0.125905,NA,NA,NA,NA
RPL5P17,100270839,2.97077,2.93727,4.53419,3.76018,4.33368,4.32408,4.66538,NA,NA,NA,NA
RPL5P18,389428,0.33399,0.656309,1.54727,0.665145,1.14567,0.430811,0.247065,NA,NA,NA,NA
RPL5P22,389644,0.0482019,0.612034,0.403389,0.361826,0.544667,0.435228,0.311997,NA,NA,NA,NA
RPL5P23,100270840,0.740378,2.03684,0.826149,0.899803,0.557737,0.965624,0.447292,NA,NA,NA,NA
RPL5P24,100270841,2.31031,2.39363,2.71892,2.94199,3.12725,2.89739,2.74157,NA,NA,NA,NA
RPL5P3,400385,0.861328,0.658217,1.15131,0.82102,1.28418,1.22418,0.681405,NA,NA,NA,NA
RPL5P34,388907,1.57452,2.27184,1.44745,1.27912,1.41524,2.29766,1.42063,NA,NA,NA,NA
RPL5P4,643343,0.576734,0.813724,1.00556,0.824616,1.01827,0.868009,0.248869,NA,NA,NA,NA
RPL5P5,730213,2.94964,3.12104,2.88653,3.26509,2.75511,2.93537,3.32574,NA,NA,NA,NA
RPL5P6,646784,0.144183,0.203416,0.0502764,0.463847,0.135769,0,0.559955,NA,NA,NA,NA
RPL5P8,100130523,0.0536226,0.0567369,0.224368,0.287496,0.151475,0.242082,0.208239,NA,NA,NA,NA
RPL5P9,100270832,2.69142,3.05123,3.6199,3.91693,3.66576,4.62887,2.98643,NA,NA,NA,NA
RPL6,6128,653.651,661.493,753.09,731.64,809.465,803.704,719.956,NA,NA,NA,NA
RPL6P27,645387,36.9569,39.996,39.4159,42.9215,44.8899,45.7429,37.8677,NA,NA,NA,NA
RPL7,6129,242.328,254.702,272.445,300.605,275.105,275.18,196.143,NA,NA,NA,NA
RPL7A,6130,4.94917,8.80043,6.11185,4.56993,6.99083,10.0344,8.54217,NA,NA,NA,NA
RPL7AP10,161406,0.725429,0.472358,0.350249,0.299193,0.551739,0.251931,0.144474,NA,NA,NA,NA
RPL7AP11,728992,1.15617,0.873821,1.15186,0.118077,1.24424,1.2428,1.35414,NA,NA,NA,NA
RPL7AP2,652978,0.061084,0.129267,0.127799,0,0.0862945,0.183853,0.0790737,NA,NA,NA,NA
RPL7AP30,441034,2.48999,2.86888,3.12572,2.07675,3.20444,3.1643,2.79357,NA,NA,NA,NA
RPL7AP34,441154,3.73129,4.00617,3.09966,2.29481,4.03029,3.63338,4.83025,NA,NA,NA,NA
RPL7AP4,652985,1.44914,1.34936,2.18301,0.683824,0.900716,0.698,1.12563,NA,NA,NA,NA
RPL7AP6,326310,41.0401,40.0132,38.3363,34.7706,40.6825,40.1323,45.319,NA,NA,NA,NA
RPL7AP60,100271538,0.222079,0.234984,0.0580789,0.0595359,0.0784209,0.167104,0.287487,NA,NA,NA,NA
RPL7L1,285855,19.6078,19.5563,24.5473,23.093,21.7034,17.655,21.7113,NA,NA,NA,NA
RPL7L1P8,402152,0.0609709,0.193541,0.0637812,0.130761,0,0.0917564,0.0789273,NA,NA,NA,NA
RPL7P1,6174,0.241167,0.255165,0.315357,0.323269,0.340663,0.181459,0.234104,NA,NA,NA,NA
RPL7P11,100270823,0.504342,0.991061,0.979873,0.849857,0.814178,0.650634,0.652859,NA,NA,NA,NA
RPL7P19,100270853,0.157926,0,0.247808,0.254012,0.22308,0,0.204429,NA,NA,NA,NA
RPL7P22,728620,2.53741,2.94679,4.79081,3.8491,3.40927,1.49019,4.16595,NA,NA,NA,NA
RPL7P23,648000,0.120602,0.127609,0,0.129324,0.0851746,0,0.0781313,NA,NA,NA,NA
RPL7P26,728380,0.178658,0.252008,0.186927,0.255401,0.336427,0.35847,0,NA,NA,NA,NA
RPL7P28,442242,0.183252,0.517068,0.575096,0.327511,0.172563,0.27578,0.553516,NA,NA,NA,NA
RPL7P32,100130892,0.545708,0.128314,0.253716,0.325096,0.0856455,0.0912497,0.235477,NA,NA,NA,NA
RPL7P44,390413,0.0608581,0.0643945,0.38198,0.261038,0.0859622,0.183173,0.157563,NA,NA,NA,NA
RPL7P47,146110,0.092761,0.196302,0.29111,0.69624,0.262069,1.25647,0.360214,NA,NA,NA,NA
RPL7P48,388401,0.181234,0.127843,0.252783,0.129561,0.255993,0,0.078203,NA,NA,NA,NA
RPL7P6,90193,0.122527,0.389223,0.448928,0.986152,0.23487,0.36901,0.143503,NA,NA,NA,NA
RPL7P9,653702,6.87427,7.59275,9.52509,11.1218,9.11368,6.71532,5.38612,NA,NA,NA,NA
RPL8,6132,1761.02,1734.49,1987.38,1689.05,1728.21,1968.34,1968.26,cerebral-cortex,glial-cells,Low,Enhanced
RPL8P2,100128766,1.31295,1.15771,1.83129,1.05582,3.40037,3.29351,2.97403,NA,NA,NA,NA
RPL9,6133,155.876,162.374,137.055,156.181,201.528,246.456,213.674,NA,NA,NA,NA
RPL9P18,389404,0.0985965,0.417303,0.103141,0.105719,0.139279,0.296785,0.255247,NA,NA,NA,NA
RPL9P2,729004,0.187109,0,0,0.300932,0.132155,0.14082,0.1211,NA,NA,NA,NA
RPL9P25,654350,0.296098,0.101332,0.364334,0.330067,0.246112,0,0.225526,NA,NA,NA,NA
RPL9P29,100129357,1.00802,0.533295,0.439366,0.270216,0.237316,0.758531,0.21747,NA,NA,NA,NA
RPL9P3,641616,0.17613,0.279548,0.184209,0,0.124374,0.397595,0.11397,NA,NA,NA,NA
RPL9P32,727865,0.078586,0.0831525,0.164416,0.252799,0.222014,0.236541,0.101819,NA,NA,NA,NA
RPLP0,6175,1471.11,1570.38,1585.54,1603.66,1528.46,1717.35,1614.36,cerebral-cortex,glial-cells,Low,Approved
RPLP0P2,113157,10.5348,10.8523,5.72481,5.99753,3.93951,5.60935,3.27214,NA,NA,NA,NA
RPLP0P6,220717,10.0792,12.0223,11.582,10.8588,12.1297,13.1694,13.0872,NA,NA,NA,NA
RPLP1,6176,1665.72,1702.9,1809.51,1399.81,1665.27,1963.69,1786.85,NA,NA,NA,NA
RPLP1P11,100131087,0,0.100724,1.06112,1.30365,0.767684,1.19833,0.583229,NA,NA,NA,NA
RPLP1P13,100874124,0.323635,0,1.01566,0,0,0,0,NA,NA,NA,NA
RPLP2,6181,1522.88,1525.79,1447.31,1187.81,1407.62,1536.64,1530.41,NA,NA,NA,NA
RPN1,6184,165.265,169.845,181.085,188.634,267.252,262.909,328.368,cerebral-cortex,glial-cells,Low,Enhanced
RPN2,6185,454.902,437.85,441.171,357.637,631.515,626.544,584.205,cerebral-cortex,glial-cells,Low,Enhanced
RPP25,54913,5.23481,5.03941,1.7466,1.73019,1.11515,1.44588,1.24953,cerebral-cortex,glial-cells,Low,Approved
RPP25L,138716,7.80502,7.94731,9.81792,6.36524,8.44151,8.77025,13.1407,NA,NA,NA,NA
RPP30,10556,21.5255,23.0961,23.4933,25.6905,17.9253,14.0019,21.6605,cerebral-cortex,glial-cells,Low,Approved
RPP38,10557,12.9411,13.0322,12.6122,11.9069,11.9474,14.2645,11.2307,cerebral-cortex,glial-cells,Low,Approved
RPP40,10799,8.03142,8.05457,8.49592,11.5274,10.1818,8.79791,11.6021,NA,NA,NA,NA
RPPH1,85495,0.985641,0.459035,1.80915,1.03884,2.09471,2.60373,10.1793,NA,NA,NA,NA
RPRD1A,55197,16.2676,17.2848,20.8741,22.6749,20.9198,19.6913,14.5276,cerebral-cortex,glial-cells,High,Supported
RPRD1B,58490,14.1738,12.9085,13.4943,15.3065,10.7481,12.2507,21.5773,cerebral-cortex,glial-cells,Low,Approved
RPRD2,23248,5.06024,5.18782,5.69684,5.22524,4.10855,4.07559,3.577,NA,NA,NA,NA
RPS10,6204,291.956,294.252,368.733,340.169,397.292,460.746,434.628,cerebral-cortex,glial-cells,Medium,Approved
RPS10-NUDT3,100529239,23.3296,23.1999,18.8622,21.9809,16.1503,14.7937,19.2036,NA,NA,NA,NA
RPS10P16,100271050,0.223279,0,0,0.1197,0.157709,0.168028,0,NA,NA,NA,NA
RPS10P3,158104,0.112402,0.237867,0.117583,0.241035,0.476358,0.169176,0.727445,NA,NA,NA,NA
RPS10P7,376693,0.064519,0.131138,0.0448273,0.0689687,0.179164,0.180368,0.109734,NA,NA,NA,NA
RPS11,6205,2255.86,2253.59,2018.73,1818.08,1930.24,2068.73,2115.58,NA,NA,NA,NA
RPS11P5,727826,55.3952,65.3867,55.0267,46.7855,51.7866,51.4964,49.4073,NA,NA,NA,NA
RPS12,6206,1113.34,1159.94,1048.68,1040.06,1136.44,1231.26,1145.56,cerebral-cortex,glial-cells,Low,Approved
RPS12P23,338870,0.168438,0.178226,0.176202,0.180578,0.237974,0,0,NA,NA,NA,NA
RPS12P26,100130495,4.39045,3.75225,4.23953,3.43964,4.29441,5.59212,4.37088,NA,NA,NA,NA
RPS12P28,100271553,0.291507,0.616872,0.762334,0.0822681,0,0,0.188638,NA,NA,NA,NA
RPS12P31,100130192,0,0.176872,0.524588,0,0,0.25162,0,NA,NA,NA,NA
RPS13,6207,625.63,647.695,628.98,675.139,663.195,697.406,736.125,NA,NA,NA,NA
RPS14,6208,1135.81,1168.19,1267.67,1191.24,1264.84,1338.24,1263.76,cerebral-cortex,glial-cells,Low,Approved
RPS14P3,644068,0.907759,0.960459,1.6278,1.39033,1.64872,1.95199,2.18189,NA,NA,NA,NA
RPS15,6209,345.714,333.859,357.898,296.197,388.412,433.977,432.108,NA,NA,NA,NA
RPS15A,6210,688.373,667.237,676.926,683.456,748.687,812.382,730.63,NA,NA,NA,NA
RPS15AP1,92682,27.2051,91.125,91.7215,101.615,105.273,113.204,103.159,NA,NA,NA,NA
RPS15AP10,728963,1.09114,1.15434,0.190205,0.974615,0.256977,0.273704,0,NA,NA,NA,NA
RPS15AP11,644790,2.68324,3.21772,3.55545,2.87656,3.2856,3.23131,3.24108,NA,NA,NA,NA
RPS15AP12,100129243,0.176041,0,0,0,0,0.264995,0,NA,NA,NA,NA
RPS15AP16,100271358,0.411159,0.217221,0,0.22007,0.290067,0.309047,0,NA,NA,NA,NA
RPS15AP24,648729,0.337727,0.357352,0.883282,0.724142,0.715732,0.254244,0.218544,NA,NA,NA,NA
RPS15AP36,100271650,0.363648,0.19239,0.38041,0.194923,0.256896,0.273704,0.941243,NA,NA,NA,NA
RPS15AP38,100271655,59.8121,56.1653,68.8058,66.5937,70.6509,72.089,82.1341,NA,NA,NA,NA
RPS15P5,729789,2.2815,1.35792,1.93916,2.14031,2.61885,2.79021,2.21467,NA,NA,NA,NA
RPS16,6217,974.867,981.789,1096.83,943.993,1107.45,1134.05,1221.01,cerebral-cortex,glial-cells,Medium,Approved
RPS17P2,6219,0.317623,0.336689,0.166066,0.170574,0.224537,0.478995,0.205919,NA,NA,NA,NA
RPS17P5,442216,0.636441,0.168356,0.166444,0.511743,0.674377,0.718502,0.617776,NA,NA,NA,NA
RPS18P12,388339,34.3409,37.5521,35.6567,33.5342,33.3645,35.3554,30.8988,NA,NA,NA,NA
RPS18P13,100271364,0.390558,0.688755,0.81712,0.13958,1.1035,1.1757,0.505504,NA,NA,NA,NA
RPS18P6,100271076,0.512634,0.271211,0.536262,0.549628,0.905255,0.771588,0.663511,NA,NA,NA,NA
RPS18P9,645958,38.7862,39.5599,39.2437,36.8133,35.9303,39.8125,42.4658,NA,NA,NA,NA
RPS19,6223,0.169512,0.23089,0.0709302,0.190794,0.511727,0.102035,0.318114,NA,NA,NA,NA
RPS19BP1,91582,46.4896,46.6426,64.0458,48.0785,64.7885,67.2189,81.0634,NA,NA,NA,NA
RPS19P1,85486,16.2575,17.5013,17.5983,13.1863,16.1773,21.9171,25.616,NA,NA,NA,NA
RPS19P3,728953,0.960703,0.581017,0.430708,0.588579,0.775793,1.23946,1.06598,NA,NA,NA,NA
RPS2,6187,448.547,439.553,1055.62,1150.93,1006.34,1142.58,1018.96,NA,NA,NA,NA
RPS20,6224,462.717,495.005,491.31,476.578,505.91,583.506,455.633,cerebral-cortex,glial-cells,Low,Approved
RPS20P10,100271081,3.10412,4.92674,3.2472,6.09685,8.77741,9.35171,4.01461,NA,NA,NA,NA
RPS20P14,440992,1.65243,1.31133,1.94466,2.65706,4.08591,3.42041,2.673,NA,NA,NA,NA
RPS20P2,64726,0.175111,0.185287,0.183183,0.375458,0.247408,0.263595,0,NA,NA,NA,NA
RPS20P22,100271087,0.384607,0.249333,0.0924965,0,0.0416319,0.316782,0,NA,NA,NA,NA
RPS20P24,100271232,0,0.868883,0,0.22007,0.870202,0.618093,0,NA,NA,NA,NA
RPS20P4,6226,0.213087,0.676408,0.891636,1.59896,0.903365,0.320789,0.827257,NA,NA,NA,NA
RPS21,6227,980.581,968.94,1045.11,915.968,1223.17,1398.33,1234.46,NA,NA,NA,NA
RPS21P1,100271090,3.85133,0,0.581559,0,0,0,1.52011,NA,NA,NA,NA
RPS21P4,100128912,1.74285,3.37867,2.41638,2.37744,6.48769,4.74247,5.92208,NA,NA,NA,NA
RPS23,6228,778.336,810.041,909.153,893.838,749.246,779.07,661.623,NA,NA,NA,NA
RPS23P8,653658,22.7226,22.7073,27.9958,28.6859,21.763,22.0466,26.1356,NA,NA,NA,NA
RPS24,6229,1788.63,1876.24,1979.52,1984.2,2339.63,2500.41,2209.08,NA,NA,NA,NA
RPS24P8,100216336,2.94921,1.73366,3.08514,2.63483,2.77781,4.68597,3.39281,NA,NA,NA,NA
RPS26,6231,5.00858,5.03169,5.23528,4.69601,4.29615,4.14561,4.0883,NA,NA,NA,NA
RPS26P15,644928,0.222913,0.471732,0.233188,0.238951,0,0,0.86539,NA,NA,NA,NA
RPS26P21,100271105,0.222913,0.235866,0.233188,0.238951,0,0,0,NA,NA,NA,NA
RPS26P3,441386,0.140166,0.296624,0.146647,0.601107,0.198021,0.843902,0.362813,NA,NA,NA,NA
RPS26P31,645979,1.33748,0.943464,0.233188,1.19476,0.314978,1.34235,0.576898,NA,NA,NA,NA
RPS26P34,100271114,0,0.234326,0.694997,0.474784,0,0.66679,0.28658,NA,NA,NA,NA
RPS26P47,400156,0.222913,0.707598,0.233188,0,0,0.671173,1.44231,NA,NA,NA,NA
RPS26P52,100271577,0,0.235893,0,0,0.315005,0.335587,0,NA,NA,NA,NA
RPS27,6232,1467.69,1434.63,1413.06,1387.3,1595.61,1774.05,1434.07,NA,NA,NA,NA
RPS27A,6233,413.085,423.012,420.215,438.137,476.155,512.322,358.106,cerebral-cortex,glial-cells,High,Supported
RPS27AP2,140752,0.374274,0.396022,0.130508,0.668811,0.704983,0,0.161478,NA,NA,NA,NA
RPS27L,51065,249.077,245.452,444.687,442.557,574.347,515.554,506.214,NA,NA,NA,NA
RPS27P23,100130775,0,2.24211,0.554162,1.70257,0.748987,0.797994,0.685113,NA,NA,NA,NA
RPS27P27,100271585,4.54862,3.20893,2.11479,2.70734,2.85816,6.85327,4.57739,NA,NA,NA,NA
RPS28,6234,521.84,540.313,668.762,557.356,812.607,894.134,910.121,NA,NA,NA,NA
RPS29,6235,711.416,711.788,773.876,697.507,793.835,879.135,751.017,cerebral-cortex,glial-cells,Low,Approved
RPS2P32,256355,0.571725,0.756183,0.299039,0.510909,0.13459,0.0716979,0.370062,NA,NA,NA,NA
RPS2P46,125208,8.15807,9.60259,11.9679,13.0448,14.7214,22.294,17.3078,NA,NA,NA,NA
RPS2P48,645173,0.870184,1.22766,1.36544,1.34787,1.70708,1.96428,1.4394,NA,NA,NA,NA
RPS2P5,100130562,34.9614,34.7836,22.2473,25.5141,47.389,49.6168,48.2119,NA,NA,NA,NA
RPS2P55,286444,0.337908,0.413332,0.60604,0.517659,0.272733,0.701585,0.749892,NA,NA,NA,NA
RPS2P7,86781,0.529446,0.509283,0.2014,0.361297,0.680027,1.30378,1.12155,NA,NA,NA,NA
RPS3,6188,2441.38,2450.06,2523.92,2342.53,2342,2572.65,2380.07,NA,NA,NA,NA
RPS3A,6189,48.4117,51.6522,58.9227,54.5228,48.7023,50.149,50.0619,cerebral-cortex,glial-cells,Medium,Approved
RPS3AP25,645968,0.0556137,0.117691,0.058177,0.178909,0.23566,0,0.0719931,NA,NA,NA,NA
RPS3AP26,644972,1.6377,1.61336,1.00428,1.45338,3.03113,3.05949,1.5352,NA,NA,NA,NA
RPS3AP43,727970,0.0567647,0.180189,0.237525,0.121741,0.0801794,0.0854255,0.146966,NA,NA,NA,NA
RPS3AP44,646527,0.335382,0.887176,0.584735,0.779224,0.947444,0.925316,0.795959,NA,NA,NA,NA
RPS3AP47,146053,1.68851,1.19109,2.28153,0.52809,1.09316,1.48233,2.09468,NA,NA,NA,NA
RPS3AP49,400652,0.335382,0.23658,0.350841,0.0599403,0.236861,0.336479,0.506519,NA,NA,NA,NA
RPS3AP5,439992,0.477912,0.449496,0.49994,0.569427,0.450026,0.559383,0.412447,NA,NA,NA,NA
RPS3AP6,145767,0.110817,0.230719,0.173908,0.292273,0.232929,0,0.286712,NA,NA,NA,NA
RPS3P6,645000,10.8402,13.7124,12.5335,11.711,11.0527,11.4078,11.922,NA,NA,NA,NA
RPS4X,6191,396.39,408.686,402.216,408.019,369.851,378.308,402.909,NA,NA,NA,NA
RPS4XP1,400064,3.42718,3.32909,2.99742,3.43409,3.80919,3.88932,3.49106,NA,NA,NA,NA
RPS4XP11,441550,4.49745,4.08768,3.31745,3.64798,3.09486,3.99154,4.10528,NA,NA,NA,NA
RPS4XP13,390183,1.73576,3.25851,2.57721,2.64186,2.13538,1.85378,2.10201,NA,NA,NA,NA
RPS4XP14,729097,0.39736,0.420544,0.475049,0.791461,0.801853,0.76883,0.514389,NA,NA,NA,NA
RPS4XP16,220433,0.777727,1.04206,0.760484,0.418891,0.315547,0.914488,1.18118,NA,NA,NA,NA
RPS4XP17,100128140,0.130627,0.0691429,0.135374,0.421618,0.276884,0.579514,0.498196,NA,NA,NA,NA
