gene_symbol	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
MSANTD4	cerebral-cortex	glial-cells	Medium	Approved
NDUFA3	cerebral-cortex	glial-cells	Medium	Supported
ZNF415	cerebral-cortex	glial-cells	Low	Approved
S1PR1	cerebral-cortex	glial-cells	Low	Supported
SOX7	cerebral-cortex	glial-cells	Low	Approved
KYAT1	cerebral-cortex	glial-cells	Medium	Approved
TRMT61B	cerebral-cortex	glial-cells	Medium	Enhanced
GIMAP8	cerebral-cortex	glial-cells	Low	Supported
TADA3	cerebral-cortex	glial-cells	Low	Approved
SOCS5	cerebral-cortex	glial-cells	Low	Approved
C1GALT1C1	cerebral-cortex	glial-cells	High	Approved
ZNF672	cerebral-cortex	glial-cells	Medium	Approved
TMEM126A	cerebral-cortex	glial-cells	Low	Approved
TRIM8	cerebral-cortex	glial-cells	Low	Approved
FAM241B	cerebral-cortex	glial-cells	Low	Enhanced
NPTX1	cerebral-cortex	glial-cells	Medium	Enhanced
FAM98B	cerebral-cortex	glial-cells	High	Enhanced
ZNF439	cerebral-cortex	glial-cells	Medium	Approved
ZNF440	cerebral-cortex	glial-cells	Medium	Approved
TPPP	cerebral-cortex	glial-cells	Medium	Enhanced
NAT1	cerebral-cortex	glial-cells	Low	Approved
MCC	cerebral-cortex	glial-cells	Low	Approved
WIPF2	cerebral-cortex	glial-cells	Medium	Enhanced
RSL1D1	cerebral-cortex	glial-cells	Low	Supported
PPID	cerebral-cortex	glial-cells	Low	Approved
PTGER4	cerebral-cortex	glial-cells	Medium	Approved
TBCA	cerebral-cortex	glial-cells	Medium	Approved
MAP6	cerebral-cortex	glial-cells	Low	Enhanced
ECEL1	cerebral-cortex	glial-cells	Low	Approved
PLRG1	cerebral-cortex	glial-cells	Medium	Supported
DSCAM	cerebral-cortex	glial-cells	High	Enhanced
CLSTN1	cerebral-cortex	glial-cells	Low	Enhanced
CXXC5	cerebral-cortex	glial-cells	Low	Approved
ATF7IP	cerebral-cortex	glial-cells	Medium	Supported
TCEA2	cerebral-cortex	glial-cells	Low	Approved
HDAC3	cerebral-cortex	glial-cells	Medium	Supported
GPHN	cerebral-cortex	glial-cells	Medium	Enhanced
TMEM51	cerebral-cortex	glial-cells	Low	Approved
GATM	cerebral-cortex	glial-cells	Medium	Enhanced
METTL18	cerebral-cortex	glial-cells	Low	Approved
PWWP2B	cerebral-cortex	glial-cells	Low	Approved
ZNF540	cerebral-cortex	glial-cells	High	Supported
EXOSC10	cerebral-cortex	glial-cells	Low	Supported
MLLT3	cerebral-cortex	glial-cells	Low	Approved
RPS7	cerebral-cortex	glial-cells	High	Approved
PRNP	cerebral-cortex	glial-cells	Low	Enhanced
AQP4	cerebral-cortex	glial-cells	Medium	Enhanced
ATPAF2	cerebral-cortex	glial-cells	Medium	Supported
C20orf196	cerebral-cortex	glial-cells	Low	Approved
JMJD1C	cerebral-cortex	glial-cells	Low	Approved
GAP43	cerebral-cortex	glial-cells	High	Enhanced
QARS	cerebral-cortex	glial-cells	Low	Enhanced
SMN1	cerebral-cortex	glial-cells	High	Supported
EIF2AK3	cerebral-cortex	glial-cells	Medium	Approved
NME6	cerebral-cortex	glial-cells	Low	Approved
CYCS	cerebral-cortex	glial-cells	Low	Enhanced
CALB2	cerebral-cortex	glial-cells	Medium	Enhanced
CEBPB	cerebral-cortex	glial-cells	Medium	Supported
PAIP1	cerebral-cortex	glial-cells	Medium	Approved
C5orf34	cerebral-cortex	glial-cells	Low	Approved
C1QTNF4	cerebral-cortex	glial-cells	High	Approved
ZNF131	cerebral-cortex	glial-cells	Low	Approved
MACROD2	cerebral-cortex	glial-cells	Medium	Enhanced
DPAGT1	cerebral-cortex	glial-cells	Low	Approved
CERS6	cerebral-cortex	glial-cells	Low	Approved
COPRS	cerebral-cortex	glial-cells	Low	Approved
TP53RK	cerebral-cortex	glial-cells	Medium	Approved
STARD5	cerebral-cortex	glial-cells	Medium	Approved
C2CD2L	cerebral-cortex	glial-cells	Low	Approved
ARNT2	cerebral-cortex	glial-cells	Medium	Enhanced
CLP1	cerebral-cortex	glial-cells	High	Supported
ZNF24	cerebral-cortex	glial-cells	Medium	Supported
MANEA	cerebral-cortex	glial-cells	Low	Enhanced
CARNS1	cerebral-cortex	glial-cells	Medium	Enhanced
BANP	cerebral-cortex	glial-cells	Low	Approved
PPP1CA	cerebral-cortex	glial-cells	Low	Approved
SNTG2	cerebral-cortex	glial-cells	Medium	Approved
CHCHD1	cerebral-cortex	glial-cells	Low	Approved
MRPL52	cerebral-cortex	glial-cells	Medium	Approved
RAD9A	cerebral-cortex	glial-cells	Low	Enhanced
WASHC2C	cerebral-cortex	glial-cells	Medium	Supported
ZMAT3	cerebral-cortex	glial-cells	Medium	Enhanced
PURG	cerebral-cortex	glial-cells	Low	Enhanced
NAA16	cerebral-cortex	glial-cells	Low	Approved
CBWD1	cerebral-cortex	glial-cells	Medium	Approved
DCP2	cerebral-cortex	glial-cells	Medium	Approved
RPL38	cerebral-cortex	glial-cells	Medium	Approved
RARG	cerebral-cortex	glial-cells	Medium	Supported
CES3	cerebral-cortex	glial-cells	Low	Approved
SSH3	cerebral-cortex	glial-cells	Medium	Approved
SP3	cerebral-cortex	glial-cells	Low	Supported
DMXL1	cerebral-cortex	glial-cells	Low	Approved
DHCR7	cerebral-cortex	glial-cells	Medium	Approved
NBEA	cerebral-cortex	glial-cells	Medium	Enhanced
MYD88	cerebral-cortex	glial-cells	Low	Approved
OXSR1	cerebral-cortex	glial-cells	Low	Supported
PHF8	cerebral-cortex	glial-cells	High	Approved
KAT5	cerebral-cortex	glial-cells	Medium	Approved
SH3RF3	cerebral-cortex	glial-cells	Medium	Approved
TADA2B	cerebral-cortex	glial-cells	Low	Approved
GRK2	cerebral-cortex	glial-cells	Low	Approved
RELA	cerebral-cortex	glial-cells	Low	Supported
HSPA6	cerebral-cortex	glial-cells	High	Approved
LRRN3	cerebral-cortex	glial-cells	Medium	Approved
KDM2A	cerebral-cortex	glial-cells	Medium	Supported
ADCK5	cerebral-cortex	glial-cells	Medium	Approved
MRPL57	cerebral-cortex	glial-cells	Low	Supported
COMMD1	cerebral-cortex	glial-cells	Medium	Approved
RAPH1	cerebral-cortex	glial-cells	Low	Approved
PARP14	cerebral-cortex	glial-cells	Medium	Supported
CKS1B	cerebral-cortex	glial-cells	High	Approved
ABLIM3	cerebral-cortex	glial-cells	Medium	Approved
GOLGB1	cerebral-cortex	glial-cells	Medium	Enhanced
TNKS	cerebral-cortex	glial-cells	Medium	Approved
ZBTB21	cerebral-cortex	glial-cells	Low	Enhanced
PPP1R3B	cerebral-cortex	glial-cells	Low	Enhanced
MAP3K11	cerebral-cortex	glial-cells	Low	Approved
DAB1	cerebral-cortex	glial-cells	Low	Enhanced
ARV1	cerebral-cortex	glial-cells	Medium	Approved
PTPRM	cerebral-cortex	glial-cells	Low	Supported
PEAK1	cerebral-cortex	glial-cells	Medium	Approved
SNX33	cerebral-cortex	glial-cells	Medium	Approved
CHD2	cerebral-cortex	glial-cells	Low	Enhanced
CEP83	cerebral-cortex	glial-cells	Medium	Approved
PC	cerebral-cortex	glial-cells	Low	Enhanced
SCAI	cerebral-cortex	glial-cells	Low	Approved
NMNAT1	cerebral-cortex	glial-cells	Low	Approved
LRFN4	cerebral-cortex	glial-cells	Medium	Enhanced
HSPB7	cerebral-cortex	glial-cells	Low	Approved
UQCRH	cerebral-cortex	glial-cells	Low	Supported
TAS1R1	cerebral-cortex	glial-cells	Low	Approved
BCLAF3	cerebral-cortex	glial-cells	High	Approved
PSMD1	cerebral-cortex	glial-cells	Low	Enhanced
CNP	cerebral-cortex	glial-cells	Medium	Enhanced
HAP1	cerebral-cortex	glial-cells	Low	Enhanced
RNF213	cerebral-cortex	glial-cells	Medium	Approved
PLK3	cerebral-cortex	glial-cells	Medium	Enhanced
PHC3	cerebral-cortex	glial-cells	Low	Approved
GOLIM4	cerebral-cortex	glial-cells	Medium	Enhanced
RBM4	cerebral-cortex	glial-cells	Low	Approved
UBXN2A	cerebral-cortex	glial-cells	Low	Supported
CEP19	cerebral-cortex	glial-cells	Medium	Enhanced
FAM174A	cerebral-cortex	glial-cells	Low	Approved
TRMT10C	cerebral-cortex	glial-cells	Low	Approved
PRPF8	cerebral-cortex	glial-cells	Medium	Supported
ADCY6	cerebral-cortex	glial-cells	Low	Approved
DDX23	cerebral-cortex	glial-cells	High	Approved
C11orf45	cerebral-cortex	glial-cells	High	Approved
RALGAPA1	cerebral-cortex	glial-cells	Medium	Approved
LIG4	cerebral-cortex	glial-cells	Medium	Supported
LINGO2	cerebral-cortex	glial-cells	Low	Approved
GCSAM	cerebral-cortex	glial-cells	Low	Approved
TTC9B	cerebral-cortex	glial-cells	Low	Approved
AKIRIN1	cerebral-cortex	glial-cells	Low	Approved
UGT8	cerebral-cortex	glial-cells	High	Enhanced
SLC29A2	cerebral-cortex	glial-cells	Low	Approved
SH3PXD2B	cerebral-cortex	glial-cells	Medium	Approved
KIAA1551	cerebral-cortex	glial-cells	Medium	Approved
PABPC5	cerebral-cortex	glial-cells	Low	Approved
SRP72	cerebral-cortex	glial-cells	Medium	Approved
PDE12	cerebral-cortex	glial-cells	Medium	Approved
GLMN	cerebral-cortex	glial-cells	Low	Approved
RSRC1	cerebral-cortex	glial-cells	Medium	Supported
PTDSS2	cerebral-cortex	glial-cells	Medium	Approved
C19orf70	cerebral-cortex	glial-cells	Medium	Approved
SEZ6L2	cerebral-cortex	glial-cells	Medium	Enhanced
KCTD13	cerebral-cortex	glial-cells	Low	Enhanced
DHX36	cerebral-cortex	glial-cells	Medium	Approved
KLC2	cerebral-cortex	glial-cells	Medium	Approved
CTBP2	cerebral-cortex	glial-cells	Low	Approved
ZDHHC14	cerebral-cortex	glial-cells	Medium	Approved
UBE2C	cerebral-cortex	glial-cells	Low	Approved
GK5	cerebral-cortex	glial-cells	Low	Approved
TRAF6	cerebral-cortex	glial-cells	Low	Approved
MRPS22	cerebral-cortex	glial-cells	Medium	Enhanced
PACS1	cerebral-cortex	glial-cells	Medium	Approved
MARCKSL1	cerebral-cortex	glial-cells	Medium	Enhanced
PSMD2	cerebral-cortex	glial-cells	Medium	Approved
PPM1E	cerebral-cortex	glial-cells	Medium	Approved
PARL	cerebral-cortex	glial-cells	Low	Approved
PCCA	cerebral-cortex	glial-cells	Low	Enhanced
DCTN2	cerebral-cortex	glial-cells	Low	Enhanced
CKAP5	cerebral-cortex	glial-cells	Medium	Supported
CCNE2	cerebral-cortex	glial-cells	Medium	Enhanced
BANF1	cerebral-cortex	glial-cells	Low	Enhanced
CHRNA7	cerebral-cortex	glial-cells	Medium	Enhanced
PTPN2	cerebral-cortex	glial-cells	Low	Enhanced
SMAD2	cerebral-cortex	glial-cells	High	Approved
ARL10	cerebral-cortex	glial-cells	Low	Approved
CLTB	cerebral-cortex	glial-cells	Low	Approved
PCSK1	cerebral-cortex	glial-cells	Low	Approved
LRRC25	cerebral-cortex	glial-cells	Low	Approved
LIPT2	cerebral-cortex	glial-cells	Medium	Approved
KCNE3	cerebral-cortex	glial-cells	Low	Approved
ALG10B	cerebral-cortex	glial-cells	Medium	Approved
UCP2	cerebral-cortex	glial-cells	Medium	Approved
MRPL48	cerebral-cortex	glial-cells	Medium	Approved
RAB6A	cerebral-cortex	glial-cells	Low	Approved
ERCC4	cerebral-cortex	glial-cells	Low	Approved
TOM1L2	cerebral-cortex	glial-cells	Low	Enhanced
B3GNTL1	cerebral-cortex	glial-cells	Low	Supported
AURKAIP1	cerebral-cortex	glial-cells	High	Approved
ETV4	cerebral-cortex	glial-cells	Medium	Approved
SWI5	cerebral-cortex	glial-cells	High	Approved
BAIAP2	cerebral-cortex	glial-cells	Medium	Enhanced
ZDHHC21	cerebral-cortex	glial-cells	Medium	Approved
DOK7	cerebral-cortex	glial-cells	Medium	Approved
LRRN1	cerebral-cortex	glial-cells	Low	Enhanced
TUBB6	cerebral-cortex	glial-cells	Low	Approved
IP6K1	cerebral-cortex	glial-cells	Medium	Approved
CSTF3	cerebral-cortex	glial-cells	High	Enhanced
YES1	cerebral-cortex	glial-cells	Low	Approved
CHMP6	cerebral-cortex	glial-cells	Low	Approved
TMEM39A	cerebral-cortex	glial-cells	Medium	Approved
TCP11L1	cerebral-cortex	glial-cells	Medium	Approved
CCDC57	cerebral-cortex	glial-cells	Low	Approved
BNIP3	cerebral-cortex	glial-cells	Low	Supported
ZNF135	cerebral-cortex	glial-cells	Low	Approved
ZSCAN2	cerebral-cortex	glial-cells	High	Supported
CDC26	cerebral-cortex	glial-cells	Medium	Approved
CLK2	cerebral-cortex	glial-cells	Low	Approved
LPCAT4	cerebral-cortex	glial-cells	Medium	Supported
SGF29	cerebral-cortex	glial-cells	Low	Enhanced
PHLDB3	cerebral-cortex	glial-cells	Medium	Approved
LMNB2	cerebral-cortex	glial-cells	High	Enhanced
BDNF	cerebral-cortex	glial-cells	Low	Enhanced
BASP1	cerebral-cortex	glial-cells	High	Enhanced
TCIM	cerebral-cortex	glial-cells	Low	Approved
DPP7	cerebral-cortex	glial-cells	Low	Supported
SEC24C	cerebral-cortex	glial-cells	Low	Supported
DEAF1	cerebral-cortex	glial-cells	Medium	Approved
RHOG	cerebral-cortex	glial-cells	Low	Enhanced
ZBTB34	cerebral-cortex	glial-cells	Low	Approved
RPS6KA3	cerebral-cortex	glial-cells	Low	Approved
PUS1	cerebral-cortex	glial-cells	Medium	Approved
KCNA3	cerebral-cortex	glial-cells	Medium	Approved
FZD8	cerebral-cortex	glial-cells	Low	Approved
SAMD9L	cerebral-cortex	glial-cells	Medium	Enhanced
PAWR	cerebral-cortex	glial-cells	Medium	Approved
NR2C2	cerebral-cortex	glial-cells	Medium	Approved
ACOT4	cerebral-cortex	glial-cells	High	Enhanced
ZBTB33	cerebral-cortex	glial-cells	Low	Approved
SLC25A22	cerebral-cortex	glial-cells	Low	Approved
RABEP2	cerebral-cortex	glial-cells	Low	Approved
TBL1XR1	cerebral-cortex	glial-cells	High	Supported
C18orf32	cerebral-cortex	glial-cells	High	Approved
PIDD1	cerebral-cortex	glial-cells	High	Supported
CSTF2T	cerebral-cortex	glial-cells	Medium	Approved
GBA	cerebral-cortex	glial-cells	High	Supported
ACAD9	cerebral-cortex	glial-cells	Medium	Supported
PNPLA2	cerebral-cortex	glial-cells	Medium	Approved
THAP5	cerebral-cortex	glial-cells	Low	Approved
NECTIN3	cerebral-cortex	glial-cells	Low	Approved
TMEM94	cerebral-cortex	glial-cells	High	Approved
FLII	cerebral-cortex	glial-cells	Low	Approved
HNRNPA0	cerebral-cortex	glial-cells	Low	Enhanced
KCNJ10	cerebral-cortex	glial-cells	Medium	Enhanced
SVBP	cerebral-cortex	glial-cells	Low	Approved
GRB2	cerebral-cortex	glial-cells	Low	Approved
UBE2N	cerebral-cortex	glial-cells	Low	Enhanced
BET1L	cerebral-cortex	glial-cells	High	Approved
IMPDH2	cerebral-cortex	glial-cells	Low	Approved
NDUFAF3	cerebral-cortex	glial-cells	Medium	Enhanced
C2orf69	cerebral-cortex	glial-cells	Low	Approved
STAP2	cerebral-cortex	glial-cells	Low	Approved
DDX10	cerebral-cortex	glial-cells	Medium	Approved
NDUFV2	cerebral-cortex	glial-cells	Medium	Supported
DALRD3	cerebral-cortex	glial-cells	Low	Approved
ZNF518B	cerebral-cortex	glial-cells	Medium	Approved
PLEC	cerebral-cortex	glial-cells	Low	Enhanced
SLITRK1	cerebral-cortex	glial-cells	Medium	Enhanced
WDR6	cerebral-cortex	glial-cells	Low	Approved
ZNF354B	cerebral-cortex	glial-cells	Low	Approved
CALML3	cerebral-cortex	glial-cells	Low	Approved
ZFAND2A	cerebral-cortex	glial-cells	High	Approved
COX14	cerebral-cortex	glial-cells	Low	Approved
P4HTM	cerebral-cortex	glial-cells	High	Supported
MAF	cerebral-cortex	glial-cells	High	Approved
ERN1	cerebral-cortex	glial-cells	Low	Supported
CSRNP3	cerebral-cortex	glial-cells	High	Supported
RPP25	cerebral-cortex	glial-cells	Low	Approved
ZHX2	cerebral-cortex	glial-cells	Medium	Enhanced
MPI	cerebral-cortex	glial-cells	Low	Approved
APOLD1	cerebral-cortex	glial-cells	Low	Approved
EXOSC4	cerebral-cortex	glial-cells	Medium	Approved
DPY19L3	cerebral-cortex	glial-cells	Medium	Approved
TAF7	cerebral-cortex	glial-cells	Low	Approved
PFAS	cerebral-cortex	glial-cells	Low	Enhanced
ZBTB7A	cerebral-cortex	glial-cells	Low	Supported
TUFM	cerebral-cortex	glial-cells	Medium	Enhanced
AURKB	cerebral-cortex	glial-cells	Low	Enhanced
MRFAP1	cerebral-cortex	glial-cells	Low	Approved
C3orf38	cerebral-cortex	glial-cells	Medium	Approved
RCC2	cerebral-cortex	glial-cells	Low	Approved
C9orf50	cerebral-cortex	glial-cells	Medium	Enhanced
DPM3	cerebral-cortex	glial-cells	Medium	Approved
CYC1	cerebral-cortex	glial-cells	Low	Supported
FARSA	cerebral-cortex	glial-cells	High	Approved
SPTY2D1	cerebral-cortex	glial-cells	High	Approved
SAMD4B	cerebral-cortex	glial-cells	Low	Approved
RAD23A	cerebral-cortex	glial-cells	High	Approved
PTPN11	cerebral-cortex	glial-cells	High	Approved
HLA-DQB1	cerebral-cortex	glial-cells	Low	Enhanced
GPC5	cerebral-cortex	glial-cells	Medium	Enhanced
GCC1	cerebral-cortex	glial-cells	Low	Enhanced
CIITA	cerebral-cortex	glial-cells	Low	Enhanced
PLD6	cerebral-cortex	glial-cells	Medium	Approved
CDC42EP4	cerebral-cortex	glial-cells	High	Approved
FOXS1	cerebral-cortex	glial-cells	Low	Approved
CDH5	cerebral-cortex	glial-cells	Low	Approved
LRRC3B	cerebral-cortex	glial-cells	Medium	Approved
MROH1	cerebral-cortex	glial-cells	Medium	Approved
SERTAD2	cerebral-cortex	glial-cells	Medium	Enhanced
AKAP5	cerebral-cortex	glial-cells	Low	Enhanced
ZNF154	cerebral-cortex	glial-cells	Low	Approved
R3HDM2	cerebral-cortex	glial-cells	Low	Approved
PUF60	cerebral-cortex	glial-cells	Medium	Enhanced
TSHZ1	cerebral-cortex	glial-cells	High	Approved
PSTK	cerebral-cortex	glial-cells	Low	Approved
SOCS4	cerebral-cortex	glial-cells	Medium	Approved
TDRP	cerebral-cortex	glial-cells	Low	Approved
RCC1	cerebral-cortex	glial-cells	Medium	Enhanced
PRKRA	cerebral-cortex	glial-cells	High	Approved
ZNRF2	cerebral-cortex	glial-cells	Low	Approved
FGD6	cerebral-cortex	glial-cells	Medium	Approved
CCDC43	cerebral-cortex	glial-cells	Low	Approved
MTURN	cerebral-cortex	glial-cells	Low	Enhanced
ZNF609	cerebral-cortex	glial-cells	Medium	Approved
CCDC66	cerebral-cortex	glial-cells	Medium	Approved
MCFD2	cerebral-cortex	glial-cells	Medium	Supported
GAS1	cerebral-cortex	glial-cells	Medium	Approved
MIGA1	cerebral-cortex	glial-cells	Low	Approved
NRIP1	cerebral-cortex	glial-cells	Low	Approved
HIST1H2AC	cerebral-cortex	glial-cells	High	Supported
HIST1H2BC	cerebral-cortex	glial-cells	High	Supported
ZNF594	cerebral-cortex	glial-cells	Medium	Approved
TMEM64	cerebral-cortex	glial-cells	Medium	Enhanced
CHRM4	cerebral-cortex	glial-cells	Low	Enhanced
SLC36A4	cerebral-cortex	glial-cells	Medium	Enhanced
ZFP3	cerebral-cortex	glial-cells	Low	Approved
PPA1	cerebral-cortex	glial-cells	Medium	Supported
MAP6D1	cerebral-cortex	glial-cells	High	Enhanced
ZNF443	cerebral-cortex	glial-cells	Low	Approved
SSR4	cerebral-cortex	glial-cells	Low	Enhanced
ZNF792	cerebral-cortex	glial-cells	High	Supported
CUEDC1	cerebral-cortex	glial-cells	Low	Approved
FAM83H	cerebral-cortex	glial-cells	Low	Enhanced
NQO1	cerebral-cortex	glial-cells	Low	Enhanced
SLC26A11	cerebral-cortex	glial-cells	Low	Approved
HIGD1A	cerebral-cortex	glial-cells	Low	Approved
CHRM2	cerebral-cortex	glial-cells	Medium	Approved
NPM1	cerebral-cortex	glial-cells	High	Supported
PJA1	cerebral-cortex	glial-cells	Low	Approved
DHTKD1	cerebral-cortex	glial-cells	Low	Approved
HIST3H2A	cerebral-cortex	glial-cells	High	Supported
POLR2A	cerebral-cortex	glial-cells	Low	Enhanced
ZNF322	cerebral-cortex	glial-cells	Medium	Approved
DDX60L	cerebral-cortex	glial-cells	Low	Approved
AATK	cerebral-cortex	glial-cells	Medium	Enhanced
SOX2	cerebral-cortex	glial-cells	Medium	Enhanced
ZBTB2	cerebral-cortex	glial-cells	Medium	Approved
HKR1	cerebral-cortex	glial-cells	Medium	Approved
ZBTB20	cerebral-cortex	glial-cells	High	Approved
C3orf58	cerebral-cortex	glial-cells	Medium	Approved
AMIGO1	cerebral-cortex	glial-cells	Low	Approved
COPG1	cerebral-cortex	glial-cells	Medium	Supported
RELL1	cerebral-cortex	glial-cells	Low	Approved
RFX7	cerebral-cortex	glial-cells	Medium	Supported
CHST15	cerebral-cortex	glial-cells	Low	Approved
IDH2	cerebral-cortex	glial-cells	Medium	Enhanced
TMEM259	cerebral-cortex	glial-cells	Medium	Approved
WRB	cerebral-cortex	glial-cells	Medium	Approved
DEXI	cerebral-cortex	glial-cells	Low	Approved
IST1	cerebral-cortex	glial-cells	Medium	Approved
MRPL41	cerebral-cortex	glial-cells	Medium	Supported
RGMA	cerebral-cortex	glial-cells	Low	Approved
MRPS16	cerebral-cortex	glial-cells	Low	Supported
RAD51B	cerebral-cortex	glial-cells	Medium	Enhanced
ARL6IP4	cerebral-cortex	glial-cells	Medium	Approved
SHMT2	cerebral-cortex	glial-cells	Low	Enhanced
ATP6AP2	cerebral-cortex	glial-cells	Low	Approved
BACE2	cerebral-cortex	glial-cells	High	Approved
UBE2E2	cerebral-cortex	glial-cells	Medium	Approved
FIGN	cerebral-cortex	glial-cells	Medium	Approved
C8orf33	cerebral-cortex	glial-cells	Low	Approved
PLCXD1	cerebral-cortex	glial-cells	Medium	Approved
CACNB4	cerebral-cortex	glial-cells	Medium	Approved
EXOC7	cerebral-cortex	glial-cells	Low	Supported
KPNA2	cerebral-cortex	glial-cells	Low	Enhanced
FES	cerebral-cortex	glial-cells	Low	Approved
GLRX5	cerebral-cortex	glial-cells	Low	Approved
FAM104B	cerebral-cortex	glial-cells	Medium	Approved
LIMK2	cerebral-cortex	glial-cells	Low	Approved
ADI1	cerebral-cortex	glial-cells	Medium	Approved
RWDD4	cerebral-cortex	glial-cells	Medium	Approved
TRAK1	cerebral-cortex	glial-cells	Medium	Approved
PAQR7	cerebral-cortex	glial-cells	Low	Approved
RPS17	cerebral-cortex	glial-cells	Low	Approved
RBM10	cerebral-cortex	glial-cells	Low	Approved
TCEAL7	cerebral-cortex	glial-cells	Low	Enhanced
CEP63	cerebral-cortex	glial-cells	Low	Approved
EWSR1	cerebral-cortex	glial-cells	Medium	Enhanced
SPATA13	cerebral-cortex	glial-cells	Medium	Approved
CNOT10	cerebral-cortex	glial-cells	Medium	Approved
MTA1	cerebral-cortex	glial-cells	Low	Supported
AP2A2	cerebral-cortex	glial-cells	Medium	Supported
ABAT	cerebral-cortex	glial-cells	Medium	Enhanced
SLC25A10	cerebral-cortex	glial-cells	Low	Supported
CAMK1D	cerebral-cortex	glial-cells	Medium	Approved
GPC6	cerebral-cortex	glial-cells	Low	Approved
CEP57L1	cerebral-cortex	glial-cells	Medium	Approved
TMEM119	cerebral-cortex	glial-cells	Low	Enhanced
CALN1	cerebral-cortex	glial-cells	Medium	Approved
GDPGP1	cerebral-cortex	glial-cells	Medium	Approved
DDX41	cerebral-cortex	glial-cells	Low	Supported
CCDC125	cerebral-cortex	glial-cells	Low	Approved
NPIPA1	cerebral-cortex	glial-cells	Medium	Supported
SF3A3	cerebral-cortex	glial-cells	High	Supported
GRIN2A	cerebral-cortex	glial-cells	Low	Enhanced
EP400	cerebral-cortex	glial-cells	Medium	Supported
UTP11	cerebral-cortex	glial-cells	Medium	Approved
PCBP3	cerebral-cortex	glial-cells	Low	Approved
SETD3	cerebral-cortex	glial-cells	Medium	Approved
TANGO2	cerebral-cortex	glial-cells	Medium	Approved
HIST2H3D	cerebral-cortex	glial-cells	High	Approved
SFXN4	cerebral-cortex	glial-cells	Low	Approved
KLHL25	cerebral-cortex	glial-cells	Low	Approved
FAM19A1	cerebral-cortex	glial-cells	Medium	Approved
TRMT12	cerebral-cortex	glial-cells	Low	Approved
ALYREF	cerebral-cortex	glial-cells	High	Supported
TRIM52	cerebral-cortex	glial-cells	Medium	Approved
CMTM4	cerebral-cortex	glial-cells	Low	Enhanced
TRAIP	cerebral-cortex	glial-cells	Low	Enhanced
CHEK2	cerebral-cortex	glial-cells	Low	Enhanced
KCTD16	cerebral-cortex	glial-cells	Low	Approved
ZNF703	cerebral-cortex	glial-cells	Medium	Supported
TUBA8	cerebral-cortex	glial-cells	Medium	Approved
NPIPA5	cerebral-cortex	glial-cells	Medium	Approved
GPR39	cerebral-cortex	glial-cells	Low	Approved
TOB2	cerebral-cortex	glial-cells	Low	Approved
AC138969.1	cerebral-cortex	glial-cells	Medium	Approved
PRKX	cerebral-cortex	glial-cells	High	Supported
KCNH8	cerebral-cortex	glial-cells	Medium	Approved
COA3	cerebral-cortex	glial-cells	Medium	Approved
ACTG1	cerebral-cortex	glial-cells	Low	Approved
DIABLO	cerebral-cortex	glial-cells	Medium	Supported
VPS33B	cerebral-cortex	glial-cells	Low	Approved
EIF3C	cerebral-cortex	glial-cells	High	Supported
LRTOMT	cerebral-cortex	glial-cells	Low	Approved
NR2C2AP	cerebral-cortex	glial-cells	Low	Approved
CRELD2	cerebral-cortex	glial-cells	Low	Approved
SCFD2	cerebral-cortex	glial-cells	Low	Enhanced
TSPYL2	cerebral-cortex	glial-cells	Low	Approved
PGP	cerebral-cortex	glial-cells	Medium	Approved
SNRNP35	cerebral-cortex	glial-cells	Medium	Supported
IRAK1	cerebral-cortex	glial-cells	Medium	Supported
HIST2H2AC	cerebral-cortex	glial-cells	High	Supported
HIST2H2AB	cerebral-cortex	glial-cells	High	Supported
POU6F1	cerebral-cortex	glial-cells	Medium	Enhanced
HIST1H1B	cerebral-cortex	glial-cells	Medium	Approved
PKP3	cerebral-cortex	glial-cells	Low	Enhanced
MAP7D2	cerebral-cortex	glial-cells	Low	Enhanced
MAML2	cerebral-cortex	glial-cells	Medium	Approved
TOP1MT	cerebral-cortex	glial-cells	Medium	Approved
THAP7	cerebral-cortex	glial-cells	Low	Approved
KNTC1	cerebral-cortex	glial-cells	Low	Approved
TMEM255B	cerebral-cortex	glial-cells	Low	Approved
HDDC3	cerebral-cortex	glial-cells	Medium	Approved
CEND1	cerebral-cortex	glial-cells	Low	Enhanced
DUSP8	cerebral-cortex	glial-cells	High	Approved
LPAR5	cerebral-cortex	glial-cells	Low	Approved
TMEM173	cerebral-cortex	glial-cells	Low	Enhanced
SNN	cerebral-cortex	glial-cells	Low	Approved
MED12	cerebral-cortex	glial-cells	Medium	Enhanced
RALYL	cerebral-cortex	glial-cells	Medium	Enhanced
AMER1	cerebral-cortex	glial-cells	High	Approved
HIST2H2BE	cerebral-cortex	glial-cells	Medium	Supported
EIF4ENIF1	cerebral-cortex	glial-cells	High	Enhanced
APOBR	cerebral-cortex	glial-cells	Low	Enhanced
NDUFA12	cerebral-cortex	glial-cells	Medium	Supported
UBE2G2	cerebral-cortex	glial-cells	Low	Approved
APOO	cerebral-cortex	glial-cells	Low	Supported
TMED9	cerebral-cortex	glial-cells	Low	Approved
RBM33	cerebral-cortex	glial-cells	High	Approved
ARMCX2	cerebral-cortex	glial-cells	Low	Enhanced
H1FX	cerebral-cortex	glial-cells	High	Supported
